Date,Close/Last,Volume,Open,High,Low
10/16/2023,$253.92,88917180,$250.05,$255.3999,$248.48
10/13/2023,$251.12,102296800,$258.90,$259.60,$250.22
10/12/2023,$258.87,111508100,$262.92,$265.41,$256.6307
10/11/2023,$262.99,103706300,$266.20,$268.60,$260.90
10/10/2023,$263.62,122656000,$257.75,$268.94,$257.65
10/09/2023,$259.67,101377900,$255.31,$261.36,$252.05
10/06/2023,$260.53,118121800,$253.98,$261.65,$250.65
10/05/2023,$260.05,119159200,$260.00,$263.60,$256.25
10/04/2023,$261.16,129721600,$248.14,$261.86,$247.60
10/03/2023,$246.53,101985300,$248.61,$250.02,$244.45
10/02/2023,$251.60,123810400,$244.81,$254.2799,$242.62
09/29/2023,$250.22,128522700,$250.00,$254.77,$246.35
09/28/2023,$246.38,117058900,$240.02,$247.55,$238.65
09/27/2023,$240.50,136597200,$244.262,$245.33,$234.58
09/26/2023,$244.12,101993600,$242.98,$249.55,$241.6601
09/25/2023,$246.99,104636600,$243.38,$247.10,$238.31
09/22/2023,$244.88,127524100,$257.40,$257.7888,$244.48
09/21/2023,$255.70,119951500,$257.85,$260.86,$254.21
09/20/2023,$262.59,122514600,$267.04,$273.93,$262.4606
09/19/2023,$266.50,103704000,$264.35,$267.85,$261.20
09/18/2023,$265.28,101543300,$271.16,$271.44,$263.7601
